cmd,input_size,output_size,compress_time,decompress_time,ratio,compress_speed,decompress_speed,compress_anchor,decompress_anchor
gzip,1000011774,297723122,126.68865920799999,7.140130560999978,0.2977196166492336,7893459.290291806,140055110.40122324,south,east
gzip\_9,1000011774,287794562,521.989593081,6.178854585999943,0.2877911735467227,1915769.5617981846,161844199.45176053,south,south
pigz,1000011774,298064387,6.491004234000002,3.393383518000064,0.2980608776312268,154061180.35818243,294694592.784894,south,south
bzip2,1000011774,247176418,59.700675104999846,35.51992231899999,0.24717350777911942,16750426.561193952,28153546.19920109,north,north
bzip2\_9,1000011774,247176418,59.999974476000034,35.6157196690001,0.24717350777911942,16666869.990086485,28077820.223591033,south,south
xz,1000011774,245070940,96.76288175500008,15.239727952000067,0.24506805456872552,10334663.001583517,65618741.82726196,east,south
fqzcomp\_q2,1000011774,209788723,25.393718116999935,30.224094311000044,0.20978625297665746,39380281.74497762,33086575.356405176,south,south
fqzcomp\_q3,1000011774,209822770,25.530895980999958,30.309206096000025,0.2098202995757928,39168690.93604105,32993664.39465974,east,east
genozip,1000011774,227481916,3.1537428569999975,2.385621985999933,0.2274792376594558,317087289.40293586,419182829.41245,east,west
spring,1000000002,150558720,27.286275109000144,7.644670900000165,0.15055871969888257,36648461.470292754,130810078.69154687,south,south
dsrc2,1000000002,212848431,3.783157975999984,4.035157488000095,0.21284843057430314,264329432.8029415,247821802.48821464,south,south
idencomp,1000011774,227200632,3.253656186999933,3.098707283000067,0.2271979569712546,307350167.48099345,322719018.82639956,south,south
idencomp\_fast,1000011774,227200632,2.234104451000121,3.1489143060000515,0.2271979569712546,447611916.0643245,317573511.6368656,west,north
